name,gender
Andrew Kosenko y Joseph E. Stiglitz,M
La Nación,X
Tsáitami Ordóñez A.,F
Ronald Matute,M
Miguel Henrique Otero,M
Jorge Woodbridge,M
Redacción de La Nación,X
Gina Montaner,F
Roberto Sasso,M
Ramiro H. Jiménez Rodríguez,M
Jorge Cabrera Medaglia,M
Juan E. Muñoz Giró,M
El Financiero,X
Antara Haldar,F
Fernando Naranjo,M
Daron Acemoglu,M
Lino Rivolta,M
Leda Muñoz García,F
Óscar Corrales,M
Carlos Murillo Zamora,M
Jorge Vargas Cullell,M
Irene Cañas,F
Vivian Kellerman,F
Sergio Meresman,M
Jesús Quirós González,M
Jaime Robleto Gutiérrez,M
Damián Martínez Fernández,M
Marcela Dumani Echandi,F
Fabián Trejos Cascante,M
Priscila González Yáñez,F
Catalina Obregón López,F
Laura Sauma,F
Redacción EF,X
Kenneth Rogoff,M
Bernal Monge,M
Daniel Matul Romero,M
Aimée Leslie,F
Eduardo Ulibarri,M
Roberto Revel,M
Jorge Rodriguez Vives,M
Andrey Ulate Marchena,M
Jorge Herrera Murillo,M
Ana Paula Bonilla Méndez,F
Ana Ruth Quesada Bonilla.,F
Emma Tristán,F
Andrés Fernández Arauz,M
Byron Salas Conejo,M
Juan José Romero Zúñiga,M
Andrea Vásquez R.,F
Vilma Ibarra,F
Claudia Dobles Camargo,F
Vicki G. Ross,F
Tobias Bunde y Sophie Eisentraut,CF
Ineke Geesink,F
Rebeca Artavia Villanueva,F
Isabel Gamboa Barboza,F
Ana Coralia Fernández,F
José David Guevara Muñoz,M
Nuria Marín Raventós,F
Randall Murillo Astúa,M
Mia Fink Uleth,F
Rodolfo González Ulloa,M
Edmundo González Urrutia,M
Dalia Marin,F
Constantino Urcuyo,M
Carlos Arguedas Ramírez,M
David Díaz Arias,M
Felipe De la Garza Madrigal,M
Nikole Corrales Mora,F
Miguel Ángel Rodríguez Echeverría,M
Álvaro Cedeño Molinari,M
Alejandra Montiel,F
Dr. Óscar Aguilar Bulgarelli,M
Freddy Pacheco León,M
Prof. Julio Vindas Rodríguez,M
Amanda Sánchez Ulate,F
Francisco Robles-Rivera & Gabriela Arguedas-Ramírez,CF
Santiago Fernández Cortés,M
Adán Vivas,M
MSc. Alfredo Calderón Gómez,M
Isela Corrales Mejías,F
FRANCISCO BARRIENTOS,M
Fernando Zamora,M
Jasson Muir Clarke,M
Miguel Paradela López,M
Carlos Francisco Echeverría,M
Sandro Zolezzi,M
Esteban Salazar Valverde,M
Gilberto Lopes,M
María Estelí Jarquín,F
Rodolfo Brenes Vargas,M
Mia Perdomo,F
Asociación de los Amigos de Monteverde,X
Valeria Arroyo Chaves ,F
Bryan Acuña Obando,M
Carolina Méndez Díaz,F
Delfino.CR,X
Yorleny León Marchena,F
Abril Gordienko López,F
Eric Briones Briones,M
Alfredo Solano López,M
Gabriel Hernández Bermúdez,M
Ignacio García,M
Eric Scharf,M
Eduardo Robert Ureña,M
Eduardo Méndez,M
Marcela Ortiz Bonilla,F
Luis E. Loría,M
Carlos Quesada,M
Calet Barquero Álvarez,M
Mario Rodríguez Villegas,M
Carolina Hidalgo Herrera,F
Guillermo Brenes Tencio,M
Jan-Werner Mueller,M
Xinia Chaves Quirós,F
Gabriel Coronado Guardia,M
Mauricio París,M
"Albino Vargas, secretario general de la ANEP",M
José Eladio Monge Pérez,M
Lic. Bernal Monge Pacheco,M
Foro de Mujeres Políticas por Costa Rica,X
Andrés Angulo Milano,M
Dr. David Lafuente Marín,M
Dra. Gloria Cárdenas Miranda,F
Dra. Flor Inés Bolaños Céspedes & M.SC Max Emilién Corrales Solis,CF
Marco Acuña Mora,M
Laura López Salazar,F
Ana Helena Chacón,F
Andrés Arley Vargas,M
Fausto Pacheco Brenes,M
Dyalá Jiménez,F
Gerson Alvarado Corella,M
Sergio Ramírez,M
Ovidio Muñoz,M
Roberto García H.,X
Jaime Robleto,M
Kenneth Jacobs,M
Daniel Valverde Mesén,M
Franklin Castro,M
Ana Lorena Guevara Fernández,F
Angie López Briceño,F
Andrés Velasco,M
Alex Solís F.,M
Giselle Boza,F
Ian Bremmer,M
Jorge Eduardo Cartín Elizondo Secretario general del Sindicato de Trabajadores y Trabajadoras del Poder Judicial (SITRAJUD),M
"Jorge Eduardo Cartín Elizondo, Secretario general del Sindicato de Trabajadores y Trabajadoras del Poder Judicial (SITRAJUD)",M
Cristina Eguizábal Mendoza,F
Pablo Gámez Cersósimo,M
María Isabel Solís R.,F
Carla Norrlöf,F
Helena María Fonseca Ospina,F
Alonso Erak,M
José Adrián Solano Arroyo,M
Anelena Sabater y Lizandro Brenes,CF
Gabriel Guido Sancho,M
Kirk Salazar Cruz,M
Amaj Rahimi-Midani,M
Jorge A. Rodríguez Soto,M
Randall Barquero,M
Dambisa Moyo,F
Todd G. Buchholz,M
Yury Bedzhanyan,M
Dr. Jorge Arturo Sáenz,M
Patricia Rodríguez Hölkemeyer,F
José Andrés Villalobos Sandigo,M
Federico Maya Bohórquez,M
Luis París Chaverri,M
Lic. Rafael A. Rodriguez Salazar,M
Hugo Mora Poltronieri,M
Alejandra Ramírez Arce,F
Miguel Sobrado,M
Carmen Geiler-Rodríguez,F
Eugenio Vargas Leitón,M
Keneduar Gerardo Herrera Herrera,M
Fabián Coto Chaves,M
Daniel Pacheco Hernández,M
Priscila Villanueva González,F
Juan Carlos Hidalgo,M
"Albino Vargas Barrantes,  Secretario General  Asociación Nacional de Empleados Públicos y Privados (ANEP)",M
Sebastián Ciro Casas Zúñiga,M
